,site_info,,,,,,,,,,,,,,,,,,,
name,Ord.-Sil. Teel basalt,,,,,,,,,,,,,,,,,,,
lat,47.1,,,,,,,,,,,,,,,,,,,
long,95.4,,,,,,,,,,,,,,,,,,,
elevation,,,,,,,,,,,,,,,,,,,,
mag_dec,1.2,,,,,,,,,,,,,,,,,,,
site_id,sample_name,comment,strat_level,magnetic_core_strike,core_dip,shadow_angle,GMT_offset,year,month,days,hours,minutes,bedding_strike,bedding_dip,mass,runs,sun_core_strike,calculated_IGRF,calculated_mag_dec,core_strike
Z52,.1a,nan,739.9,204,56,121,8,2014,5,30,17,34,0,28,1,NRM    136.6  20.0 133.2 -00.4 3.41E-03 000.8 059.0  66.5 2.948089 3.205346 2.412916 hargrave 2014-11-19 15:15:31 ;LN2    173.0 -33.1 191.5 -32.6 1.17E-03 000.9 045.2  03.7 0.877257 1.015243 1.253972 hargrave 2014-11-24 16:55:29 ;TT 100 174.3 -34.4 193.4 -33.0 1.18E-03 000.8 045.1  02.0 0.594544 0.730650 1.428172 hargrave 2014-12-03 16:35:45 ;TT 150 175.9 -36.1 195.9 -33.7 1.19E-03 001.2 044.8 -00.1 0.715666 1.008439 2.217307 hargrave 2015-01-07 13:26:32 ;TT 200 176.5 -37.5 197.3 -34.6 1.21E-03 001.1 044.1 -01.4 0.686015 1.032372 2.119508 hargrave 2015-01-09 15:10:17 ;TT 250 177.5 -38.6 198.9 -35.1 1.21E-03 002.1 043.8 -02.7 2.744211 2.957539 2.091576 hargrave 2015-01-12 15:55:45 ;TT 300 179.3 -38.5 200.2 -34.2 1.21E-03 001.2 044.9 -03.7 1.183466 1.387748 1.782944 hargrave 2015-01-13 14:32:59 ;TT 350 183.0 -38.0 202.7 -32.2 1.21E-03 001.2 047.1 -05.6 1.167389 1.418442 1.937132 hargrave 2015-01-14 18:48:47 ;TT 400 183.4 -38.6 203.4 -32.4 1.22E-03 002.0 046.9 -06.2 2.916762 2.703703 1.702309 hargrave 2015-01-16 15:21:59 ;TT 425 184.2 -37.8 203.5 -31.5 1.21E-03 003.3 047.9 -06.2 5.057864 4.792437 1.318646 hargrave 2015-01-19 14:06:17 ;TT 450 183.5 -38.7 203.5 -32.5 1.20E-03 001.3 046.9 -06.3 1.698027 1.644322 1.211211 hargrave 2015-01-20 19:57:44 ;TT 475 185.0 -36.8 203.6 -30.3 1.18E-03 001.3 049.1 -06.1 1.760772 1.701322 1.195602 hargrave 2015-01-21 13:34:35 ;TT 500 184.8 -35.9 202.8 -29.6 1.16E-03 001.5 049.7 -05.4 2.121087 2.053885 1.046334 hargrave 2015-01-22 10:08:54 ;TT 515 184.3 -34.7 201.7 -28.8 1.13E-03 002.6 050.4 -04.3 3.979704 3.258039 0.991627 hargrave 2015-01-22 15:14:03 ;TT 530 183.8 -33.4 200.5 -27.9 1.11E-03 001.1 051.1 -03.2 1.495719 1.368918 0.841744 hargrave 2015-01-22 21:19:17 ;,204.5,[0.63575001732976477; 67.683135940290796; 58717.319512791459],0.5,204.5
Z52,.2a,nan,738.9,179,12,97,8,2014,5,30,17,36,0,28,1,NRM    188.9 -06.6 191.1 -02.3 3.94E-04 000.8 097.1 -08.3 0.460595 0.148327 0.345417 hargrave 2014-11-19 15:17:12 ;LN2    185.0 -08.2 188.5 -05.5 3.97E-04 001.0 093.0 -09.1 0.619257 0.178899 0.356261 hargrave 2014-11-24 16:57:07 ;TT 100 182.8 -10.4 187.5 -08.5 4.06E-04 001.1 090.3 -10.7 0.726625 0.164341 0.329182 hargrave 2014-12-03 16:37:28 ;TT 150 182.4 -14.2 189.0 -11.9 4.24E-04 001.7 089.2 -14.3 1.200705 0.216784 0.334273 hargrave 2015-01-07 13:28:03 ;TT 200 179.9 -15.2 187.3 -14.0 4.23E-04 000.9 086.5 -14.8 0.615616 0.183680 0.260173 hargrave 2015-01-09 15:11:59 ;TT 250 181.4 -14.7 188.4 -12.9 4.14E-04 000.7 088.1 -14.7 0.474747 0.237778 0.197863 hargrave 2015-01-12 15:57:19 ;TT 300 179.9 -03.7 181.8 -03.8 3.76E-04 000.9 088.9 -03.5 0.567586 0.145254 0.188187 hargrave 2015-01-13 14:35:32 ;TT 350 179.8  03.2 178.5  02.1 3.62E-04 000.5 090.3  03.2 0.289447 0.145051 0.141996 hargrave 2015-01-14 18:50:22 ;TT 400 181.0  07.0 177.7  06.1 3.60E-04 002.1 092.2  06.7 1.292871 0.122455 0.136642 hargrave 2015-01-16 15:23:27 ;TT 425 180.4  08.2 176.6  06.9 3.58E-04 000.6 091.9  08.0 0.373430 0.080484 0.157999 hargrave 2015-01-19 14:07:47 ;TT 450 179.3  08.8 175.4  06.9 3.58E-04 001.6 090.9  08.8 0.983642 0.105177 0.114892 hargrave 2015-01-20 19:59:08 ;TT 475 181.3  09.8 176.6  08.6 3.56E-04 000.8 093.1  09.3 0.497448 0.093509 0.151807 hargrave 2015-01-21 13:36:00 ;TT 500 182.9  10.7 177.7  10.2 3.50E-04 000.6 094.9  09.9 0.314141 0.102587 0.178425 hargrave 2015-01-22 10:10:25 ;TT 515 179.4  10.0 174.9  08.0 3.38E-04 001.9 091.3  10.0 1.106988 0.087696 0.105446 hargrave 2015-01-22 15:15:28 ;TT 530 179.5  10.4 174.8  08.4 3.29E-04 001.5 091.5  10.3 0.846601 0.099734 0.086550 hargrave 2015-01-22 21:20:46 ;,180.9,[0.63574983588394218; 67.683136139938085; 58717.31957959693],1.9,180.9
Z52,.5a,nan,738.6,168,49,84,8,2014,5,30,17,44,0,28,1,NRM    179.1 -02.5 180.5 -03.2 1.25E-03 001.7 094.6 -09.1 3.509456 1.281391 0.982381 hargrave 2014-11-19 15:18:48 ;LN2    181.0 -03.9 182.9 -03.6 1.25E-03 000.9 094.8 -11.5 1.725564 0.458005 1.061764 hargrave 2014-11-24 16:58:42 ;TT 100 181.4 -03.9 183.2 -03.3 1.25E-03 000.7 095.1 -11.8 1.035188 0.423889 1.136306 hargrave 2014-12-03 16:39:02 ;TT 150 180.4 -05.8 183.2 -05.5 1.25E-03 000.7 092.9 -12.3 1.145559 0.614251 1.137253 hargrave 2015-01-07 13:29:37 ;TT 200 182.2 -04.5 184.2 -03.5 1.25E-03 000.7 095.2 -12.8 1.181556 0.510679 1.064178 hargrave 2015-01-09 15:13:37 ;TT 250 181.7 -04.9 183.9 -04.1 1.25E-03 000.8 094.5 -12.6 1.263774 0.667074 1.256774 hargrave 2015-01-12 15:58:57 ;TT 300 181.3 -05.4 183.8 -04.7 1.24E-03 001.4 093.9 -12.6 2.806016 0.531550 1.192985 hargrave 2015-01-13 14:37:10 ;TT 350 181.0 -04.8 183.3 -04.4 1.23E-03 000.7 094.1 -12.1 1.048759 0.599292 1.110119 hargrave 2015-01-14 18:51:53 ;TT 400 181.0 -04.5 183.1 -04.1 1.23E-03 001.4 094.4 -11.8 2.718448 0.556548 1.313897 hargrave 2015-01-16 15:24:52 ;TT 425 181.2 -03.7 182.9 -03.3 1.22E-03 000.7 095.1 -11.5 0.886471 0.515719 1.239597 hargrave 2015-01-19 14:09:14 ;TT 450 182.1 -02.2 183.1 -01.5 1.21E-03 002.3 096.9 -11.2 4.696274 0.735898 1.263828 hargrave 2015-01-20 20:00:30 ;TT 475 181.3 -02.9 182.7 -02.5 1.20E-03 002.8 095.8 -11.0 5.646663 0.787693 1.142650 hargrave 2015-01-21 13:37:21 ;TT 500 181.8 -01.5 182.5 -01.1 1.19E-03 002.3 097.2 -10.5 4.710348 0.645018 1.047212 hargrave 2015-01-22 10:11:51 ;TT 515 180.3 -02.5 181.6 -02.7 1.16E-03 000.8 095.4 -10.0 1.218250 0.512726 1.174246 hargrave 2015-01-22 15:16:51 ;TT 530 180.6 -01.7 181.4 -01.8 1.13E-03 000.7 096.2 -09.7 0.672567 0.466473 1.136518 hargrave 2015-01-22 21:22:06 ;,169.4,[0.6357491101006254; 67.683136938527127; 58717.319846818835],1.4,169.4
Z52,.6a,nan,739.4,213,55,129,8,2014,5,30,17,46,0,28,1,NRM    197.4  23.7 183.6  28.3 8.25E-04 001.2 101.4  26.5 0.916306 0.459222 1.723693 hargrave 2014-11-19 15:20:21 ;LN2    196.3 -46.0 217.8 -33.4 1.18E-03 001.2 042.8 -13.7 1.142467 1.467356 1.634389 hargrave 2014-11-24 17:00:16 ;TT 100 193.9 -38.9 211.7 -28.3 1.35E-03 009.5 047.5 -08.0 0.963466 23.81420 13.66034 hargrave 2014-12-03 16:40:35 ;TT 150 194.4 -49.4 218.8 -36.9 1.25E-03 001.4 039.3 -14.8 0.880949 1.387470 2.783438 hargrave 2015-01-07 13:31:15 ;TT 200 194.9 -49.8 219.4 -37.0 1.27E-03 001.6 039.2 -15.3 1.591380 1.829493 2.689159 hargrave 2015-01-09 15:16:02 ;TT 250 194.3 -50.1 219.2 -37.5 1.30E-03 002.0 038.7 -15.1 2.561778 2.837852 2.564887 hargrave 2015-01-12 16:00:52 ;TT 300 194.1 -50.2 219.1 -37.7 1.32E-03 001.3 038.5 -15.1 1.084660 1.798656 2.309384 hargrave 2015-01-13 14:39:34 ;TT 350 192.4 -51.2 218.8 -39.1 1.29E-03 001.3 037.0 -14.9 1.057021 1.382025 2.431817 hargrave 2015-01-14 18:53:23 ;TT 400 193.4 -48.6 217.5 -36.6 1.28E-03 001.2 039.5 -13.7 1.089158 1.670506 1.771270 hargrave 2015-01-16 15:26:15 ;TT 425 193.7 -47.2 216.7 -35.3 1.27E-03 003.5 040.8 -13.0 4.639676 5.908449 1.774183 hargrave 2015-01-19 14:11:01 ;TT 450 190.9 -48.3 215.6 -37.3 1.26E-03 001.2 038.7 -12.3 1.438309 1.724088 1.424001 hargrave 2015-01-20 20:01:48 ;TT 475 192.3 -45.0 214.3 -34.1 1.24E-03 000.9 041.9 -10.9 0.794067 1.105694 1.484470 hargrave 2015-01-21 13:38:40 ;TT 500 193.4 -42.4 213.4 -31.4 1.21E-03 001.4 044.5 -09.9 1.870181 2.083393 1.265156 hargrave 2015-01-22 10:13:10 ;TT 515 190.7 -42.3 211.3 -32.5 1.18E-03 001.5 043.3 -08.3 1.980864 2.116168 1.203687 hargrave 2015-01-22 15:18:10 ;TT 530 191.4 -39.9 210.3 -30.1 1.14E-03 000.8 045.5 -07.1 0.780638 0.966831 1.032211 hargrave 2015-01-22 21:23:24 ;,214.8,[0.63574892865479138; 67.683137138174402; 58717.319913624291],1.8,214.8
Z52,.7a,nan,739.8,215,42,nan,8,2014,5,30,nan,nan,0,28,1,NRM    192.7 -18.9 200.1 -11.4 1.41E-03 000.8 060.2  00.7 1.361044 1.162271 0.868415 hargrave 2014-11-19 15:21:51 ;LN2    184.4 -27.8 197.7 -22.9 1.49E-03 005.8 048.8 -02.0 11.51872 9.832706 0.719422 hargrave 2014-11-24 17:01:53 ;TT 100 187.4 -32.4 202.8 -25.5 1.34E-03 008.8 048.2 -07.2 1.342098 22.79872 12.43175 hargrave 2014-12-03 16:42:12 ;TT 150 189.0 -25.6 200.4 -18.9 1.51E-03 000.5 053.4 -02.6 0.764829 0.825979 1.004123 hargrave 2015-01-07 13:33:11 ;TT 200 189.2 -25.4 200.4 -18.7 1.51E-03 000.9 053.7 -02.5 1.887593 1.438985 0.853487 hargrave 2015-01-09 15:17:32 ;TT 250 188.0 -26.2 199.9 -19.9 1.52E-03 000.6 052.3 -02.6 1.074167 1.028595 1.096222 hargrave 2015-01-12 16:02:32 ;TT 300 189.4 -25.0 200.4 -18.2 1.52E-03 001.2 054.1 -02.4 2.192884 2.201199 0.794956 hargrave 2015-01-13 14:41:10 ;TT 350 188.0 -25.2 199.3 -19.0 1.51E-03 000.9 052.9 -01.7 1.195209 1.809515 1.348912 hargrave 2015-01-14 18:54:53 ;TT 400 187.7 -24.8 198.8 -18.8 1.51E-03 002.2 052.9 -01.2 4.752407 3.374807 0.621950 hargrave 2015-01-16 15:27:41 ;TT 425 189.0 -23.1 199.1 -16.7 1.50E-03 000.6 055.0 -00.6 1.260823 1.159714 0.620519 hargrave 2015-01-19 14:12:31 ;TT 450 188.6 -22.6 198.5 -16.5 1.50E-03 000.9 054.9  00.1 1.629438 1.787317 0.645660 hargrave 2015-01-20 20:03:05 ;TT 475 189.4 -20.8 198.3 -14.5 1.48E-03 001.0 056.6  01.0 2.297232 1.447746 0.581845 hargrave 2015-01-21 13:39:56 ;TT 500 189.0 -19.2 197.1 -13.3 1.46E-03 003.0 057.2  02.6 6.131610 4.563872 0.591980 hargrave 2015-01-22 10:14:27 ;TT 515 187.4 -18.8 195.6 -13.7 1.45E-03 000.6 056.3  03.7 1.234753 1.038112 0.545049 hargrave 2015-01-22 15:19:28 ;TT 530 186.9 -17.3 194.4 -12.6 1.42E-03 001.0 056.7  05.3 2.159940 1.291130 0.584311 hargrave 2015-01-22 21:24:40 ;,nan,insufficient data,insufficient data,215
Z52,.8a,nan,740.7,219,50,133,8,2014,5,30,17,51,0,28,1,NRM    175.7 -16.4 184.3 -17.0 9.43E-04 000.7 046.5  19.5 0.683161 0.734604 0.517437 hargrave 2014-11-19 15:23:23 ;LN2    179.0 -16.2 187.1 -15.3 9.00E-04 001.6 049.3  17.8 1.881928 1.512684 0.649775 hargrave 2014-11-24 17:03:48 ;TT 100 177.7 -17.1 186.4 -16.7 9.05E-04 000.5 047.7  17.8 0.443324 0.437990 0.457249 hargrave 2014-12-03 16:44:07 ;TT 150 179.5 -16.6 187.7 -15.4 9.06E-04 002.2 049.5  17.2 2.763989 1.802156 1.258138 hargrave 2015-01-07 13:36:22 ;TT 200 178.7 -17.8 187.6 -16.8 9.10E-04 001.0 048.1  16.6 0.791183 1.045461 0.958508 hargrave 2015-01-09 15:19:03 ;TT 250 180.7 -16.3 188.6 -14.5 9.12E-04 001.0 050.7  16.7 0.786584 0.516135 1.379197 hargrave 2015-01-12 16:04:10 ;TT 300 179.9 -16.7 188.1 -15.3 9.01E-04 001.0 049.8  16.8 1.061353 0.660573 0.935061 hargrave 2015-01-13 14:43:33 ;TT 350 179.4 -16.3 187.5 -15.2 8.93E-04 000.9 049.6  17.5 0.687896 0.660746 1.040404 hargrave 2015-01-14 18:56:23 ;TT 400 177.6 -17.2 186.4 -16.8 8.95E-04 000.9 047.6  17.7 0.748518 0.956438 0.768904 hargrave 2015-01-16 15:29:20 ;TT 425 179.9 -15.1 187.3 -13.9 8.89E-04 001.1 050.8  18.1 1.362589 0.943693 0.672244 hargrave 2015-01-19 14:14:03 ;TT 450 178.8 -15.6 186.6 -14.8 8.83E-04 001.0 049.6  18.4 1.124116 0.782518 0.592906 hargrave 2015-01-20 20:05:09 ;TT 475 179.5 -14.4 186.6 -13.5 8.75E-04 000.8 050.9  18.9 0.738117 0.821628 0.526109 hargrave 2015-01-21 13:41:14 ;TT 500 180.3 -13.5 186.8 -12.3 8.60E-04 002.1 052.2  19.2 2.562976 1.819676 0.702943 hargrave 2015-01-22 10:15:46 ;TT 515 178.6 -14.5 185.8 -14.0 8.40E-04 000.7 050.1  19.4 0.598973 0.609156 0.490138 hargrave 2015-01-22 15:20:48 ;TT 530 178.2 -14.4 185.4 -14.1 8.11E-04 000.5 049.9  19.7 0.419556 0.401133 0.446796 hargrave 2015-01-22 21:25:58 ;,219.8,[0.63574847504019028; 67.683137637292532; 58717.320080637997],0.8,219.8
